origin_id,school_id,cci_cost
nta_QN52,school_K578,7564.7785466956075
nta_QN52,school_X320,3922.4794422015398
nta_QN52,school_M500,3917.1813513396505
nta_QN52,school_M202,5217.131930167013
nta_QN52,school_X442,5703.350591648244
nta_QN52,school_Q450,4099.323249396855
nta_QN52,school_M560,5172.727116037654
nta_QN52,school_Q505,2270.079431274829
nta_QN52,school_M425,5210.513685504378
nta_QN52,school_M423,6186.573561274157
nta_QN52,school_X684,4445.6483558612845
nta_QN52,school_K792,6731.976906839652
nta_QN52,school_M551,
nta_QN52,school_X550,4826.668618232811
nta_QN52,school_Q326,2360.2168443355695
nta_QN52,school_M680,5004.544032069805
nta_QN52,school_X549,5703.350591648244
nta_QN52,school_K403,5246.0631023082615
nta_QN52,school_Q620,2163.897223381956
nta_QN52,school_X521,4826.668618232811
nta_QN52,school_X379,5446.526096986631
nta_QN52,school_M401,3032.839017347403
nta_QN52,school_K502,5448.782365133929
nta_QN52,school_M316,5187.220300136506
nta_QN52,school_M404,5656.588707054154
nta_QN52,school_K546,6834.886398227864
nta_QN52,school_Q260,
nta_QN52,school_X290,5569.151975602528
nta_QN52,school_M427,3917.1813513396505
nta_QN52,school_M580,5187.220300136506
nta_QN52,school_Q233,3911.3445712393573
nta_QN52,school_Q334,4203.17628749642
nta_QN52,school_R080,7955.521361639478
nta_QN52,school_K371,6046.534657978659
nta_QN52,school_X565,5273.965442122011
nta_QN52,school_Q430,1811.9925598344769
nta_QN52,school_M495,5139.238189963093
nta_QN52,school_K423,5423.949855847031
nta_QN52,school_M520,4984.639730170999
nta_QN52,school_Q248,4216.353800160546
nta_QN52,school_K593,5463.395462036696
nta_QN52,school_X561,4080.312121031395
nta_QN52,school_M442,4742.968851621236
nta_QN52,school_K572,7626.5042279788895
nta_QN52,school_X547,
nta_QN52,school_K556,5190.463722136852
nta_QN52,school_M412,4944.889360436162
nta_QN52,school_K322,4951.527836685788
nta_QN52,school_M531,4149.937727306077
nta_QN52,school_X440,6260.624860636493
nta_QN52,school_M462,6675.808781141322
nta_QN52,school_K337,7626.5042279788895
nta_QN52,school_K485,6430.384332219805
nta_QN52,school_X537,4930.279518232674
nta_QN52,school_K439,5814.023655565531
nta_QN52,school_Q744,3106.7673043351306
nta_QN52,school_M726,5607.888671938306
nta_QN52,school_Q314,4523.042079535197
nta_QN52,school_M505,5793.265229505477
nta_QN52,school_K589,6927.294068606429
nta_QN52,school_K635,6482.717927773683
nta_QN52,school_K544,6834.886398227864
nta_QN52,school_K647,6675.918432342841
nta_QN52,school_X299,5153.210385435793
nta_QN52,school_X530,4942.474362704407
nta_QN52,school_Q502,3417.5622897429203
nta_QN52,school_M449,4752.024973778291
nta_QN52,school_X682,5153.126187180176
nta_QN52,school_X347,6258.611425803309
nta_QN52,school_K486,5559.802548842257
nta_QN52,school_X412,6012.785905957614
nta_QN52,school_X434,5344.719686725675
nta_QN52,school_K610,4495.475495364721
nta_QN52,school_K774,4755.220609257825
nta_QN52,school_Q004,1644.1702414133083
nta_QN52,school_K659,4412.853838908489
nta_QN52,school_M540,6064.46721623462
nta_QN52,school_K673,6545.0146656462775
nta_QN52,school_M305,5183.451148510964
nta_QN52,school_M139,4753.073766455972
nta_QN52,school_X345,5391.374188607082
nta_QN52,school_X452,4080.312121031395
nta_QN52,school_M575,5033.140484374549
nta_QN52,school_M533,4915.193032360526
nta_QN52,school_M394,5145.907257506891
nta_QN52,school_X176,4117.635836859107
nta_QN52,school_X445,6260.624860636493
nta_QN52,school_Q258,3794.4051963138786
nta_QN52,school_M494,5166.06602218209
nta_QN52,school_K566,7564.7785466956075
nta_QN52,school_K404,6131.0749625207445
nta_QN52,school_K488,4725.425951933062
nta_QN52,school_K477,5334.656680935262
nta_QN52,school_X553,
nta_QN52,school_M542,5021.393518396467
nta_QN52,school_X293,3922.4794422015398
nta_QN52,school_X548,
nta_QN52,school_X511,5116.085591267311
nta_QN52,school_M393,4753.073766455972
nta_QN52,school_K395,4882.990772135452
nta_QN52,school_X508,5153.210385435793
nta_QN52,school_M539,5746.319691504561
nta_QN52,school_M303,5021.393518396467
nta_QN52,school_M226,5195.937628503939
nta_QN52,school_M550,4885.653483384504
nta_QN52,school_K594,5514.094716492425
nta_QN52,school_M169,4762.193065721513
nta_QN52,school_K656,5536.049715973819
nta_QN52,school_Q455,3448.563229377227
nta_QN52,school_Q308,4986.617943240522
nta_QN52,school_M438,4915.193032360526
nta_QN52,school_Q265,4216.353800160546
nta_QN52,school_Q460,1597.735466957639
nta_QN52,school_M501,5172.727116037654
nta_QN52,school_K753,5581.441644948503
nta_QN52,school_Q440,2431.89451423253
nta_QN52,school_K583,4412.853838908489
nta_QN52,school_X558,3922.4794422015398
nta_QN52,school_X249,4117.635836859107
nta_QN52,school_M157,5130.0830107500105
nta_QN52,school_X252,6025.574889596389
nta_QN52,school_M296,5021.393518396467
nta_QN52,school_M467,6675.808781141322
nta_QN52,school_K771,7286.142587752275
nta_QN52,school_X348,3922.4794422015398
nta_QN52,school_K642,6893.807177380837
nta_QN52,school_Q690,3059.3947048352775
nta_QN52,school_K410,7602.078018953693
nta_QN52,school_K764,4412.853838908489
nta_QN52,school_K721,7407.90480232962
nta_QN52,school_K637,7564.7785466956075
nta_QN52,school_K344,7318.422472746943
nta_QN52,school_X374,5344.719686725675
nta_QN52,school_X395,5876.23737032986
nta_QN52,school_R440,7930.5560581867885
nta_QN52,school_M135,4984.639730170999
nta_QN52,school_Q400,3627.5584115230554
nta_QN52,school_Q600,3454.512911200275
nta_QN52,school_M522,5139.389663981381
nta_QN52,school_X432,4080.312121031395
nta_QN52,school_X237,6165.188601461723
nta_QN52,school_X264,5273.965442122011
nta_QN52,school_K498,4932.924572798483
nta_QN52,school_K508,5320.438456707403
nta_QN52,school_K419,5814.023655565531
nta_QN52,school_K564,5506.894854588205
nta_QN52,school_K769,5406.839007855123
nta_QN52,school_Q480,4445.168283945433
nta_QN52,school_Q236,3448.563229377227
nta_QN52,school_Q485,4765.247714155385
nta_QN52,school_M299,5166.06602218209
nta_QN52,school_X520,5226.315269984544
nta_QN52,school_K359,5172.280460429629
nta_QN52,school_X692,4826.668618232811
nta_QN52,school_K490,7323.306488204469
nta_QN52,school_M433,5535.2153427093635
nta_QN52,school_K728,7380.971203262592
nta_QN52,school_K514,6043.854718551804
nta_QN52,school_K510,5448.782365133929
nta_QN52,school_K559,7626.5042279788895
nta_QN52,school_Q501,4053.5315906743276
nta_QN52,school_X418,5262.009221108336
nta_QN52,school_K617,6893.807177380837
nta_QN52,school_X522,5707.857768001636
nta_QN52,school_M285,5197.415316124538
nta_QN52,school_K474,5334.656680935262
nta_QN52,school_K569,7314.758369736842
nta_QN52,school_X655,5149.990360411153
nta_QN52,school_K698,6736.258860614902
nta_QN52,school_X275,5569.151975602528
nta_QN52,school_X559,5413.410213661655
nta_QN52,school_K396,5747.025173805153
nta_QN52,school_Q241,1597.735466957639
nta_QN52,school_K350,5814.023655565531
nta_QN52,school_K053,6441.308895015552
nta_QN52,school_X397,
nta_QN52,school_X660,5273.965442122011
nta_QN52,school_X284,
nta_QN52,school_X168,5408.1702751478015
nta_QN52,school_K733,5506.894854588205
nta_QN52,school_M515,5170.900136738392
nta_QN52,school_X404,5932.3957236561355
nta_QN52,school_K370,7124.816516890108
nta_QN52,school_K561,4725.425951933062
nta_QN52,school_M138,5099.087242943773
nta_QN52,school_X253,5569.151975602528
nta_QN52,school_X704,5757.105943521393
nta_QN52,school_Q610,3226.8931078369205
nta_QN52,school_K356,6776.258193119518
nta_QN52,school_K430,5171.216971947401
nta_QN52,school_X427,5535.674072154181
nta_QN52,school_M369,5673.593602438664
nta_QN52,school_Q313,3305.293526691232
nta_QN52,school_M485,5108.75294476054
nta_QN52,school_K772,7258.579072813332
nta_QN52,school_K618,4412.853838908489
