source,target,type,shape_id,weight
sub_137N,sub_132N,transit_travel,sub_3..N01R,270.0
sub_137N,sub_136N,transit_travel,sub_nan,66.58536585365853
sub_137S,sub_138S,transit_travel,sub_nan,90.0
sub_137S,sub_228S,transit_travel,sub_2..S01R,90.0
sub_137S,sub_228S,transit_travel,sub_3..S01R,90.0
sub_137S,sub_228S,transit_travel,sub_3..S03R,90.0
sub_137S,sub_228S,transit_travel,sub_nan,90.0
sub_138N,sub_137N,transit_travel,sub_nan,60.0
sub_138S,sub_139S,transit_travel,sub_nan,90.0
sub_139N,sub_138N,transit_travel,sub_nan,60.0
sub_139S,sub_140S,transit_travel,sub_nan,150.0
sub_140N,sub_139N,transit_travel,sub_nan,150.0
sub_201S,sub_204S,transit_travel,sub_2..S01R,90.0
sub_201S,sub_204S,transit_travel,sub_2..S03R,90.0
sub_201S,sub_204S,transit_travel,sub_nan,90.0
sub_204N,sub_201N,transit_travel,sub_2..N01R,120.0
sub_204S,sub_205S,transit_travel,sub_2..S01R,90.0
sub_204S,sub_205S,transit_travel,sub_2..S03R,90.0
sub_204S,sub_205S,transit_travel,sub_5..S09R,90.0
sub_204S,sub_205S,transit_travel,sub_5..S11R,90.0
sub_204S,sub_205S,transit_travel,sub_5..S15R,90.0
sub_204S,sub_205S,transit_travel,sub_nan,90.0
sub_205N,sub_204N,transit_travel,sub_2..N01R,90.0
sub_205S,sub_206S,transit_travel,sub_2..S01R,90.0
sub_205S,sub_206S,transit_travel,sub_2..S03R,90.0
sub_205S,sub_206S,transit_travel,sub_5..S09R,90.0
sub_205S,sub_206S,transit_travel,sub_5..S11R,90.0
sub_205S,sub_206S,transit_travel,sub_5..S15R,90.0
sub_205S,sub_206S,transit_travel,sub_nan,90.0
sub_206N,sub_205N,transit_travel,sub_2..N01R,90.0
sub_206S,sub_207S,transit_travel,sub_2..S01R,60.0
sub_206S,sub_207S,transit_travel,sub_2..S03R,60.0
sub_206S,sub_207S,transit_travel,sub_5..S09R,60.0
sub_206S,sub_207S,transit_travel,sub_5..S11R,60.0
sub_206S,sub_207S,transit_travel,sub_5..S15R,60.0
sub_206S,sub_207S,transit_travel,sub_nan,60.0
sub_207N,sub_206N,transit_travel,sub_2..N01R,60.0
sub_207S,sub_208S,transit_travel,sub_2..S01R,90.0
sub_207S,sub_208S,transit_travel,sub_2..S03R,90.0
sub_207S,sub_208S,transit_travel,sub_5..S09R,120.0
sub_207S,sub_208S,transit_travel,sub_5..S11R,120.0
sub_207S,sub_208S,transit_travel,sub_5..S15R,120.0
sub_207S,sub_208S,transit_travel,sub_nan,120.0
sub_208N,sub_207N,transit_travel,sub_2..N01R,90.0
sub_208S,sub_209S,transit_travel,sub_2..S01R,90.0
sub_208S,sub_209S,transit_travel,sub_2..S03R,90.0
sub_208S,sub_209S,transit_travel,sub_5..S09R,90.0
sub_208S,sub_209S,transit_travel,sub_5..S11R,90.0
sub_208S,sub_209S,transit_travel,sub_5..S15R,90.0
sub_208S,sub_209S,transit_travel,sub_nan,90.0
sub_209N,sub_208N,transit_travel,sub_2..N01R,90.0
sub_209S,sub_210S,transit_travel,sub_2..S01R,90.0
sub_209S,sub_210S,transit_travel,sub_2..S03R,90.0
sub_209S,sub_210S,transit_travel,sub_5..S09R,90.0
sub_209S,sub_210S,transit_travel,sub_5..S11R,90.0
sub_209S,sub_210S,transit_travel,sub_5..S15R,90.0
sub_209S,sub_210S,transit_travel,sub_nan,90.0
sub_210N,sub_209N,transit_travel,sub_2..N01R,90.0
sub_210S,sub_211S,transit_travel,sub_2..S01R,120.0
sub_210S,sub_211S,transit_travel,sub_2..S03R,120.0
